index,prompt,evaluation_seed,coco_id
7645,A park bench with two stones piled on top of each other,52365,576927
25342,A man standing on top of a baseball field.,65822,66524
25631,A group of men riding skateboards on top of a ground.,91208,456708
23156,Pitcher in green and grey uniform in the motion of throwing ball. ,56033,357529
20889,A close-up of a plate of pasta and meat with a piece of broccoli.,44847,468736
9811,A black and white photo of four young children.,63367,103431
25595,The person in an apron is arranging boxes of fruit. ,72090,361572
14637,A herd of elephants walking around a river.,18114,463653
12607,Aoold rustc sign is standing upright in some grass,69741,37339
14273,Four men standing outside a brick building with trucks.,48636,487131
11594,The older woman is admiring the peacock walk.,22015,17095
29499,A little blonde boy in blue has a blue toothbrush in his mouth.,4022,485985
15162,A person in the street carrying a cart and an umbrella.,3880,64183
23803,A man riding skis across snow covered ground.,25702,578427
19983,A skateboarder in the middle of a trick on a concrete rail.,73017,393513
20639,A man flying through the air riding a skateboard.,69983,303956
1377,A large flock of birds fly through the sky.,85604,232455
29273,A man standing on surf board holding a paddle in a harbor.,62464,327005
12406,a fire hydrant on a sidewalk near a street,83421,327149
24941,some oranges that are sitting on some wood,92367,283070
2442,a messy bathroom with a toilet and toilet paper,50357,65124
18903,a man and a cat lying on a couch,57952,269918
29643,A pizza covered in lots of greens on top of a table.,35809,555412
11191,A bright street at night with several cars passing by.,88964,283277
15751,A woman is hitting a ball with a tennis racket.,37054,153822
20521,Man cross country skiing on slight down hill slope.,46282,556158
20793,A bowl filled with food on top of a wooden table.,11165,116362
10167,A train on a track traveling through a countryside. ,93745,427646
26060,A young boy getting ready to catch a baseball in a grass field.,75606,474
3182,a person with a bat near many tvs,20238,444199
2648,A man playing chess as a cat watches in the other chair.,94063,496402
8741,A street sign with six different locations on it.,6423,448810
28440,an image of a female tennis player that is returning a serve,54377,229849
247,Two bicycle riders riding in the city at night.,90436,5879
28406,Two soldiers standing next to each other in a pharmacy.,47877,531510
6480,"older women sit on a bench, with one of the women holding crutches",17857,493218
21995,Dog jumps over a woman to catch a frisbee in a dog show.,37490,113975
3048,A sink is shown with a mirror and lights.,33541,590
22376,"A bowl of noodles, meat and broccoli with a fork.",98867,99053
26516,A group of children playing a game of soccer.,28341,350444
21946,Two brown dogs in grassy area biting each other.,3467,283210
588,a kitchen with a refrigerator a sink and a stove,98964,577377
1559,A man riding a motorcycle down the middle of a street.,66054,264961
28757,A girl on a bed sits near the corner of the room.,76390,197880
21124,"A plate topped with vegetables, meat and fruit.",19707,493799
7907,There is a bird standing in the sand.,74542,438269
11008,A city street with traffic lights flooded by water.,33715,487299
517,A red fire hydrant between two trees in front of a building.,3107,542211
21885,A batter awaits a pitch at a baseball field.,2779,214604
15840,A cow on a small hill with surrounding mountains in the background.,84247,317531
27855,A woman sitting at a table in front of a multi layer cake.,64857,196928
23807,Several zebras in an open field with mountains in the background.,75780,468178
24380,Two yellow fruits hanging on branches full of leaves. ,35580,148707
26919,a surf board leaning on a wheel barrel ,66265,107554
16429,A man with an odd look taking a selfie.,78382,418300
11852,A red stop sign sitting on the side of a road.,60647,193884
14035,A cat cuddles an elephant toy on the bed.,83105,509609
6468,Three dogs exploring a stream and rocks in nature. ,41563,141538
12519,A school bus that is stopped and letting children off the bus.,69235,327089
21960,LARGE COLORFUL OUT DOOR FRUIT AND VEGETABLE STAND,30355,306099
17323,A guy walking with a umbrella on a snowy sidewalk.,16046,526570
13014,The blue trailers are being hauled by a train.,58145,93236
2956,People walking down a sidewalk passing Chinese restaurants.,618,451234
4719,There is a table with chairs and a stove in the room. ,22579,448795
18915,A ceiling with lots of multi colored umbrellas hanging from it.,27892,416818
4617,A man preparing food inside of a kitchen with a  small bird on his shoulder like snow white while wearing a cheap chefs hat.,26900,469793
2811,A man drying a pan with a dish towel.,89431,135356
13773,The man with black outfit and royal blue necktie poses for a photo at the event,17835,42201
21775,People are throwing a frisbee in the grass near houses.,575,28676
9950,A man with umbrella is exiting a triple-decker bus.,14676,83736
26185,A left handed baseball player swinging a bat in front of a catcher and umpire.,28363,201970
20910,The little boy sits on the ground next to the skateboard.,57904,11300
21612,A group of zebra standing next to each other.,43921,218424
25447,A picture of a baseball game from just behind the left fielder.,39559,318777
24553,Slice of chocolate cake with frosting and sliced strawberry.,18180,222266
21468,Four bowls filled with different types of food.,82102,364399
1205,An open door that leads into a kitchen ,84976,183249
10896,A blue and yellow train sitting in a train station.,30888,367900
12919,A shaggy haired sheep looking up in a field.,32183,24207
16344,A mama elephant and her two babies are standing alone in their habitat.,46777,27032
17783,A cat laying on top of shoes on a floor.,35355,100008
15187,"A birthday cake with a topper that reads ""Happy Birthday Forresto.""",95541,502557
13958,there is some sort of animal that is in the waves on the water,14300,43734
4106,a living room with a tv on top of a stand with a guitars sitting next to ,88326,544365
6963,A red car driving past a red fire hydrant on a curvy street.,84190,559166
4945,"A tv, chair, side table, and other living room items in the dirt. ",13080,500568
24663,Couple of zebras eating out of the food bin at the zoo,54899,140295
25869,A black and white photo of a baseball game.,9903,314704
2246,A group of motorcycle cops riding down a street.,90576,19904
18016,A bunch of cows walking on the side of the road,60071,87470
5606,this is a bathroom that has a sink and toilet,9618,62423
13741,A group of people at a party sitting next to a red umbrella.,56968,506874
15636,This elephant is walking through grass near rocks.,72166,568131
7256,A bright yellow fire hydrant sits among landscaping rocks between the sidewalk and the fence. ,17358,552761
27622,a person holding a nintendo wii remote with a white background,89255,107858
5150,a toilet sits next to a shower an sink ,85738,72428
16172,Two elephants in a grassy area next to trees.,59820,546171
16330,A person in red and black reaching for a person in white and black who has a Frisbee.,72126,282062
11588,Yellow and grey train near platform at railway station.,49447,275727
19673,A guy doing a skate boarding trick over some other guys leg,48354,367608
15839,A large teddybear float is on snow skis.,10913,303215
16977,A very big bear in the water by a waterfall.,68180,199918
27208,A tennis player hits a high ball in front of an audience. ,6003,78915
23467,a small boats in a body of water ,87303,519945
16628,A woman with purple hair standing next to a hipster.,84338,563775
9936,The walk light is lit on this street.,28196,567801
20434,Ornate wedding cake ready at the hotel reception,58332,54628
8018,A woman wearing a fur coat sitting on a wooden bench.,6589,333538
16612,A couple of people that are riding on horses.,13280,302206
29772,The chicken has found something to eat in the grass.,76409,389404
11364,A yellow train going down the train track. ,42314,411866
14077,A black cat is sitting on a wood desk.,90784,568559
7340,There are three giraffes and a goat inside the wire fence.,23512,431557
24055,A woman touching a plastic container sitting on a table.,24968,465806
17412,A cat that is laying down on a carpet.,97786,507384
19805,A banana hanging that has gone bad and something else I can't make out.,7935,471235
6585,A rural train station is loading and unloading passengers,7590,236951
2852,An open laptop computer sitting on top of a desk.,1671,403107
22647,An old image of the Railway Station in toowoomba. ,22953,288633
18629,A green truck that is parked on some grass.,23896,203061
187,A toddler celebrates his birthday with a cupcake.,83710,117425
340,a bathroom with a bath tub near windows,7211,442009
6810,A bench is surrounded by grass and a few flowers.,96636,371155
2097,A field with various wildlife and trees in the background.,69370,311295
16444,a man in a burgundy collar shirt and gold vest putting on his tie,83068,544201
26576,"Bedroom with a bed, dresser, and small picture hanging on the wall. ",7208,233140
29147,Brown dog sleeping on a bed in a bedroom.,32400,187199
11357,A city street line with brick buildings and trees.,58469,202810
9843,a close up of a street sign with a moon in the background,45118,412015
24407,A young boy standing next to a green frisbee.,48583,524638
8847,A couple sitting on a park bench looking at the city.,24912,313627
17482,A large body of water filled with boats along a forested shore.,75051,185915
19379,A brown horse standing next to a blue car.,58124,386581
26128,A group of horses walking down the street,22506,309302
8355,A yellow fire hydrant sitting next to two trash cans.,6075,264201
7707,A close-up of a tropical bird with a mirror behind it.,41402,372756
20987,A horse poses for a picture while walking through the desert.,18610,492469
9196,A train and its operators going down the track.,89434,298718
23520,"Baseball players in action, one person dressed in green running while the others in white are looking and reaching toward the ball.",94535,451879
9881,Two giraffes standing very close to one another in an enclosure,75535,573291
22350,The skier caught some air while going down the hill. ,41156,535179
22726,A person sitting on a chair in front of yellow vegetables.,48281,337866
19109,this is a white van driving in the street,14708,400554
2430,A woman is walking her two dogs on the beach.,33681,33405
11252,A lush green field with animals grazing on top of it under a snow covered mountain range.,91561,521804
15139,a close up of a person wearing a suit and tie,92591,257896
22550,A person cutting up a piece of fruit with a knife.,37139,451038
19499,A very colorful room with models of cows afixed to the ceiling.,97766,77963
11613,An old couple sits on a bench by a body of water.,39977,27528
2843,A kitchen that has carpeted floors and wooden cabinets.,96527,68833
23493,a person jumping a skate board into the air,72306,210832
8877,A forest with many tall trees all around.,86695,325152
15525,The dog is swimming in the water with his Frisbee in his mouth. ,75429,456825
15881,A man is standing in front of a book shelf filled with books.,87958,511159
20900,A table topped with bowls filled with different vegetables.,54604,238708
4576,A city street line with very tall buildings.,39574,26609
24691,A boy is jumping in the air with his skateboard at the top of a skateboard ramp. ,48565,169028
12848,a couple of buildings that has some cars outside of them,95651,122051
9117,A colorful cuckoo clock with the clock hands at six o'clock.,65163,254119
11632,"A city street with a storm drain, fire hydrant, and manhole cover.",57662,66508
15862,A colorful train sits on the tracks in the sunshine.,45534,368038
8505,A bus driving down a street in front of a motorcycle.,95411,321516
7288,TWO ELECTRIC TRAIN COMPARTMENTS STANDING NEAR TO A BUILDING.,39785,250260
5064,The cat was eating out of her bowl which was sitting on the floor.,99201,526721
15062,A blonde woman adjusting a mans neck tie.,18694,347695
6760,A group of red and yellow buses parked side by side in a parking lot.,18420,110138
20197,A close up of green apples with other fruit out of focus in the background,97015,352377
12713,A giraffe that is standing near a fence.,40325,506574
18588,a black bear holding onto a tree as he reaches for a coconut with his mouth,77072,28957
23843,A guy with a white shirt and jeans riding a skateboard.,73068,408535
24852,"A banana, peanut butter, and crackers is sitting on a white plate. ",49946,96327
14049,A large orange cat laying on top of a blanket.,16593,279159
16843,A cat is staring at a laptop computer.,76297,506095
27108,A pizza and grapes sit on a tray next to a drink. ,62782,95062
28745,Two young women playing a game of soccer.,78569,273909
29210,A man paddling a kayak down a river.,88426,536158
1751,A group of young people riding motorcycles down a street.,53586,503837
11499,A couple of kids standing around a red fire hydrant.,33932,127474
515,Pair of giraffes in an open field grazing and watching. ,61409,539478
25634,A couple of men riding on the backs of brown horses.,78736,226571
14968,A brown teddy bear sitting next to a blue piece of luggage.,588,135975
25054,Plates of food placed on a colorful bed.,82893,411223
28654,A pair of surfboards that have been placed upright. ,23314,241620
11360,A group of giraffe standing next to each other.,78110,375765
13214,Two green duffel bags of two different designs. ,67716,107228
24253,a man doing a jump in a swimming pool with his skateboard,61006,214961
25308,a plate with some fruits and a bread,29261,473915
28367,A man sitting in front of a pizza on a pizza pan.,44394,483065
13360,A man laying in bed with a book and three cats.,58982,397705
7666,A train pulling into a station with a red bench seat.,11981,410912
14297,two people standing close to one another holding a bottle and a cup,67398,302310
534,A woman holds a pink and blue kite in her hand,96038,54679
8512,A black and white train passing over a body of water.,76085,81264
24700,A plant of some sort on a bush,91029,374934
16120,A cat peeks its head out of curtains.,9849,239458
2761,A couple of large white airplanes parked in a stationary position.,9125,313386
26853,Multiple pizzas sitting on top of a wooden counter next to a crowd of people.,14284,416335
6850,A herd of sheep grazing closely together in a field.,29083,156397
15572,A cat walking past a potted plant on cement tiles.,12706,390322
22207,A pair of skis in the open water.,2542,359465
24175,A bowl filled with granola and banana slices.,86499,60126
23125,A person image on a wall with a skateboard.,41953,571215
18116,A women riding a bike with an umbrella. ,57821,407225
28069,A blue surfboard sticking out of the green grass covered ground.,53358,353909
27531,Young girl gets ready to blow out candles as family watches,44554,102235
4597,A TV sitting on top of a wooden dresser.,62993,550722
3559,A woman in red shirt standing in bathroom with sinks and a television.,22071,275781
6657,A commuter train passes people sitting on a bench at a train station.,96919,127659
26265,Children's room with a bed and a small crib with stuffed toys on the ground. ,29537,358255
16915,A black bear standing next to a metal pole fence near plants.,77750,218255
5410,A giraffe stand alone in a zoo during the day. ,10113,260883
25050,"A white plate topped with meat, veggies and gravy.",49173,567390
1726,Two people on mopeds passing in front of a building.,81471,175831
2438,A public bathroom with a white sink and sign regarding dirty hands.,77669,188733
27148,The jail cell looks run down and dirty.,75096,149197
26158,"A dog holding a ball in its mouth, near the water.",45243,287846
29741,A man with a racket plays on a court.,7799,227741
29251,A grouo of four snowboards out in front of a red colors building.,65793,174103
6049,"A store that says ""Ray's Tavern"" and a group of motorcycles parked outside the store. ",76455,451471
20624,a man holding onto a surfboard while standing next to a tree,61628,216910
17765,A little boy is playing with a suitcase.,69273,350019
8084,A toddler sitting on a living room floor surrounded by toys.,96016,535106
13315,An older gentleman in a white shirt and black bow tie.,81055,37003
17842,An elephant eats leaves off of a tree.,49527,324436
10825,A woman holding an umbrella in the rain ,30057,401018
11465,A person sitting on a bench with lots of written signs.,72654,340922
27940,A large black cat laying on top of a pink laptop.,33206,182696
27120,A dog wearing a tuxedo sitting at a table witha piece of cake with a lit candle.,20713,256787
23735,A horse that is standing with a cart near birds.,37903,413959
10502,A model train set sitting in front of a brick wall.,94976,214930
15013,A train with people sitting on it traveling through a countryside.,41886,190204
21882,A delicious pizza is shown here with some broccoli. ,99826,480407
2092,Bathroom with a white tiled floor and sink.,15302,500464
3192,A lit fireplace with decorative items on the mantle and a portrait above it.,31115,371151
405,A combination of black and white sheep grazing in a meadow,76418,421195
6674,An empty park bench next to a small lake.,18466,131965
15032,A large gray elephant standing under a blue covering.,8074,422221
20848,A man in a baseball uniform throwing a baseball bat.,79157,120441
21729,A herd of zebra standing on sandy area with rocks.,62030,477698
13871,A bull is cleaning its balls next to a rock.,25201,360986
10974,a baseball player swings his bat at a baseball ,41765,339245
27845,A plastic container filled with donuts next to coffee.,45840,375205
22772,A boy in a pitchers pose then pitching a baseball.,50623,257046
19124,A group of people standing around an elephant.,45197,381870
6435,a man is flying a kite in a field,72562,275015
9167,A group of fire fighters working on a fire hydrant.,80357,80013
12702,a wood bench is sitting near a pole,71154,247609
12302,a blue sign in the sidewalk of a walking trail,43397,28156
4372,a man on a bike that is walking dogs,27750,216861
16232,A truck is carrying bicycles in the back.,18265,229391
5548,a tiled bathroom with a toilet and scale in it ,82168,354662
28314,"kids play soccer is a soccer field, one boy just kicked the ball",50424,542260
24195,A large group of zebra standing in a dirt field.,17218,354303
16124,A person jumps in the air with a tripod in hand.,21359,31121
9052,A two way street sign picture from a piece camera film,54148,209420
25446,A man riding on the back of horses while standing.,79492,205585
14190,Two cranes on top of an island surrounded by water.,61072,156869
23931,A plate of broccoli and meat on a table ,39340,256899
18025,some elephants in some tall brown grass and trees,25241,446751
26081,Group of people standing on a Snowmountain with skis on. ,84871,202981
5401,A big teddy bear on a black motorcycle. ,17236,5965
24281,a little girl is sitting outside in the snow,85107,538344
11969,Three traffic lights are shown and they all read red.,2480,255036
23574,A plate of noodles and broccoli are shown.,1141,352900
21305,A man in a plaid shirt riding a skateboard.,68846,408773
26781,A person going down a half pipe on a snow board.,55664,497514
20291,A woman riding skis down a ski slope holding ski poles.,92195,335472
7458,A watch with a gold design surrounding it. ,99886,504813
13974,Man standing on a stage in front of a microphone.,85808,454148
25294,A group of men playing a game of baseball on a field.,35063,476770
23650,A man riding a snowboard down a snow covered slope.,70647,42661
26083,A man is sitting down with a piece of chocolate cake in front of him with a fork in his hand.  ,97530,154892
4939,A young man sitting on top of a white bench.,8139,132587
20258,A horse is standing by a wire fence.,51623,431855
23170,A baseball player standing next to home plate.,52919,579231
3328,A man with an umbrella sits on the hood of a car. ,26789,432702
28520,A woman holding a child wrapped in a towel brushing her teeth.,86536,500565
5852,a little kid that is eating a big cake,22186,152623
24654,A couple of horses running across a lush green field.,75006,441686
13903,an elephant using its trunk to blow the dirt off its face,12545,105975
22315,Four bowls of different eatables are kept on the slab.,46981,314182
26406,Cats sitting next to each other on furniture.,91708,42576
16194,Two people posing next to a giant suitcase in front of a building.,68654,34139
4304,A large jetliner sitting on top of an airport runway.,99023,348881
18525,a bear sitting on a rock with a river running through it,8904,262986
5581,Three people sit on a bench looking out over the water. ,19706,227736
21506,There are several zebras standing close to each other.,57912,320632
22372,A red and green plate holding a pink cake with frosting.,95698,486026
29281,A person walking across a beach holding a surfboard.,90841,203690
8894,a man assisting a woman shearing a sheep with several children watching,21536,33830
5998,"The view through the door of a small, tiled bathroom.",28466,571596
15135,A brown and black cow in a field with a barn in the background.,74091,223005
3532,The bathroom is clean for the guests to use. ,11558,324266
1073,An older gentleman is taking a ride on his motorcycle. ,79748,261603
6848,Street signs are displayed next to a road.,6906,283037
20122,A group of skiers is headed towards the slope,7967,117201
4095,a man taking a nap on the bench in the middle of a park,20806,414578
11949,Various vehicles are driving down a city street. ,87591,512564
4080,a gathering outside on the lawn of city hall,75092,507037
18057,A man in a parking lot talking to the driver of an army green pickup truck.,2648,89790
14745,A red stop sign sitting on the side of a street.,18852,197090
20534,Four zebras walk around a couple of trees.,68936,448861
4662,A couple of people with some bikes on a street.,84019,453481
14051,A yellow and blue train stopped at a train station.,96445,64610
24514,a dog running with a Frisbee in its mouth,63900,69959
21607,A half a sandwich sitting on top of a table.,52701,317798
28312,A snowboard is left vacant in view of large snow capped mountains.,89175,237041
5987,Two people stand near a bike wearing helmets.,30464,192699
25752,A piece of partially-eaten cake sits on a paper plate.,5469,333156
24537,"A young man is standing with a skateboard on a sidewalk with the chalk message, ""life is beautiful"".",50499,313872
788,Two cats sitting on a  sill looking out the window,70155,243456
16911,A group of people sitting on the back of a truck.,58991,31882
20706,A fork cutting into a piece of cake,27859,327780
18988,A group of people ride in a canal past buildings.,72495,289899
27956,A man holding a red snowboard while standing in snow.,7767,62858
15133,The two sumo wrestlers are facing each other with the ref between them.,50969,553954
1100,An man taking a picture of a sink through a mirror.,84575,306404
8768,A train riding over a stone bridge near some steps.,47265,186428
18214,some luggage and a back back sitting on teh ground next to a lap top,18317,370478
28561,A lot of food that is on top of a table.,19675,50829
15339,A group of people walking through a field under the sun.,39284,107851
8662,"The birds are sitting next to each other on a tree branch,",52912,149622
13679,A little child kneels down beside of a calf.,2864,176891
1422,A bike parked next to a wall next to a river.,11065,205102
2592,A stove top oven with a tea kettle on top of it.,89934,135071
819,A bike leans on a wooden fence on a hill.,6897,263961
22876,2 Zebras standing next to each other in plaines,46001,364166
3932,A room with an older model television in it.,52553,52132
13908,A dog sitting on a couch while staring out a window.,46516,124729
11610,The traffic light and sign are hanging over the road.,26889,302572
10424,A train with a green and orange stripe is sitting on the tracks.,7585,225093
28224,a bed room with a neatly made bed ,85635,464358
29727,A man is surfing on a wave in the ocean.,78376,292908
24543,A man on a skateboard is performing a trick at the park.,7235,831
18696,A group of raft boats sitting on a river side.,70330,576966
24600,"A human a doing something right now that is full.
",97008,330986
28342,A woman is standing in the kitchen and holding a thermometer.,10908,339890
8132,A empty street with a crosswalk at night.,59812,541631
18586,there is a wall baby elephant that is walking by itself,81155,482667
10988,A photo of a cat in black and white. The person taking the picture is visible in the mirror.,96050,326814
20257,A baboon is sitting eating a banana on the ground.,595,45387
10592,A very cute cat sitting on a park bench.,94084,353149
19607,a little black dog sitting on the rug,9408,481318
3734,there are two giraffes standing very close to each other,10344,432529
11717,This is a building on the corner of Trinity and 4th Street. ,30508,376493
17678,a close up of a tie and a green shirt,56574,286303
3388,A bathroom with towels draped of the curtain rod ,99207,117535
28267,Three men on beach with a white surfboard next to them.,18050,352235
13045,"A bench that has fallen apart, sitting in a forest.",69237,420371
15193,A decorated truck is parked at a curb near a building.,3841,521052
3135,A bathroom is adorned with beige and white tiles.,94341,311081
29326,A man eating food out of a wrapper.,79121,258019
12724,Two giraffes that are standing in the dirt.,15362,85005
27685,A row of wooden surfboards sitting on a rack on the beach.,13783,207027
27771,A pizza that has been cut into slices.,60757,197262
23845,Two people skiing down a snow covered hillside.,46429,573770
13308,Clothes hanging on a rope over an unfinished patio.,95805,408057
8459,A green street sign next to peoples houses.,8632,429386
2339,A cat is curled up inside a bowl. ,64617,227730
1854,A large passenger jet flying through a cloudy sky.,70831,84870
19258,People sitting at outdoor tables on the street.,19980,106909
13870,BOATS IN A HARBOR SURROUNDED BY BUILDINGS AND A FEW CARS,27341,525763
29324,A couch and television in a small room.,4462,77648
190,Fruit and vegetables are hanging in a metal basket.,90870,375415
13687,This is an image of a panda eating bamboo.,60183,476417
4502,Two pieces of fruit sitting on a plate beside a stack of books.,29507,286524
19029,A gray cat wearing a colorful neck tie.,88556,453369
28890,A female Tennis player is trying to take her best hit. ,20386,331196
692,A white bathroom with a walk in shower and a toilet.,48757,532686
2640,Two jet liners sitting on top of an airport runway.,76973,426541
29359,Two women in wetsuits pose with a surfboard. ,30740,152628
11829,A flock of birds are flying above the spire of a building tower.,64792,500175
8421,A giraffe walking across a tall dry grass field.,94452,195172
15141,a person in front of a projection with music notes,77717,378147
1270,Two people outside of a stone building near a red fire hydrant.,53813,168337
19509,Red and white commercial truck parked on open lot.,37979,91715
28091,A hot dog restaurant with neon lights in front of it.,86586,66297
581,"A pink bathroom contains a toilet sink, cabinets, and mirror.",39712,253441
8684,A truck parked on the side of a road next to another truck.,73162,81054
